subject,leaky_acc,grouped_acc,leakage_inflation
1,0.6822435535479013,0.6570629159104657,0.02518063763743561
2,0.5511801242236024,0.45322141560798546,0.09795870861561695
3,0.6675136457745153,0.6475196612220205,0.019993984552494792
4,0.4878599661208357,0.4364035087719298,0.051456457348905915
5,0.4045285149632976,0.3609044162129461,0.0436240987503515
6,0.42448334274421234,0.3966727162734422,0.02781062647077015
7,0.6675287031808771,0.6336509376890502,0.03387776549182686
8,0.7239450404667795,0.7029340592861464,0.02101098118063316
9,0.5807114624505929,0.5730943738656987,0.007617088584894183
