protocol,acc_mean,acc_std,f1_mean,kappa_mean
A_random5fold_mixed_sessions,0.5877877727802765,0.13299850119561268,0.5826166030845624,0.45039894337761704
B_within_session_5fold,0.6042212811722794,0.13956573216342708,0.5983909929952592,0.47202791484433804
C_cross_session,0.5767746913580247,0.12231200888011544,0.5598877238863263,0.43569958847736623
D_LOSO,0.31616512345679015,0.09300130426362815,0.20671912531263742,0.08822016460905349
